date,open,close,high,low,volume
2024-03-28,19.18,19.22,19.55,19.01,96558.0
2024-03-29,19.21,19.54,19.55,18.98,88374.0
2024-04-01,19.61,20.21,20.26,19.54,105520.0
2024-04-02,20.03,20.06,20.36,19.79,112392.0
2024-04-03,19.96,20.21,20.31,19.91,81849.0
2024-04-08,20.18,19.71,20.26,19.67,79971.0
2024-04-09,19.71,20.09,20.18,19.51,77301.0
2024-04-10,20.01,19.81,20.15,19.62,64152.0
2024-04-11,19.59,19.47,19.74,19.36,62375.0
2024-04-12,19.38,18.92,19.75,18.91,83657.0
2024-04-15,18.81,18.69,19.41,18.4,96864.0
2024-04-16,18.56,18.16,18.7,18.04,100836.0
2024-04-17,18.22,18.5,18.59,18.15,92653.0
2024-04-18,18.45,18.72,18.9,18.1,99973.0
2024-04-19,18.61,18.2,18.65,18.0,85879.0
2024-04-22,18.25,18.53,18.68,18.09,92664.0
2024-04-23,18.52,18.67,18.84,18.52,77538.0
2024-04-24,18.63,18.71,18.79,18.28,72475.0
2024-04-25,18.66,18.83,18.97,18.52,65274.0
2024-04-26,18.75,18.97,19.04,18.63,66601.0
2024-04-29,18.81,19.7,19.81,18.81,122234.0
2024-04-30,20.02,20.31,20.8,19.93,203513.0
2024-05-06,20.55,20.94,21.02,20.4,188706.0
2024-05-07,20.94,21.08,21.14,20.6,122211.0
2024-05-08,21.05,20.86,21.25,20.81,97580.0
2024-05-09,20.81,20.95,21.13,20.68,82216.0
2024-05-10,20.93,20.61,21.12,20.47,93476.0
2024-05-13,20.36,20.08,20.5,19.95,111825.0
2024-05-14,20.09,20.34,20.65,20.09,88732.0
2024-05-15,20.39,19.96,20.41,19.92,63749.0
2024-05-16,20.05,20.0,20.25,19.76,75722.0
2024-05-17,20.0,21.5,21.59,19.95,252970.0
2024-05-20,21.6,21.14,21.85,21.02,186956.0
2024-05-21,21.12,21.0,21.15,20.76,97854.0
2024-05-22,21.04,21.01,21.15,20.6,110785.0
2024-05-23,20.9,19.97,20.9,19.9,156420.0
2024-05-24,19.94,19.38,20.07,19.34,112738.0
2024-05-27,19.33,19.37,19.46,18.91,93345.0
2024-05-28,19.37,18.89,19.37,18.84,86491.0
2024-05-29,18.8,18.76,19.06,18.66,80321.0
2024-05-30,18.72,18.56,18.79,18.39,78097.0
2024-05-31,18.57,18.46,18.7,18.42,67080.0
2024-06-03,18.43,18.11,18.58,18.01,119603.0
2024-06-04,18.11,18.35,18.37,18.02,92169.0
2024-06-05,18.35,17.98,18.45,17.96,107980.0
2024-06-06,17.98,17.31,18.12,17.23,150839.0
2024-06-07,17.44,17.23,17.56,17.06,84106.0
2024-06-11,17.14,17.28,17.36,16.87,80773.0
2024-06-12,17.3,17.18,17.43,17.16,85341.0
2024-06-13,17.18,16.9,17.26,16.86,91330.0
2024-06-14,16.91,17.2,17.2,16.66,102196.0
2024-06-17,17.07,16.99,17.1,16.89,68801.0
2024-06-18,16.9,16.85,17.08,16.76,85362.0
2024-06-19,16.38,16.18,16.4,16.08,73515.0
2024-06-20,16.18,16.01,16.31,15.87,78783.0
2024-06-21,15.93,16.0,16.08,15.71,94677.0
2024-06-24,15.8,15.44,15.8,15.37,112689.0
2024-06-25,15.43,15.27,15.6,15.15,101631.0
2024-06-26,15.26,15.88,15.9,15.15,125483.0
2024-06-27,15.76,15.43,15.8,15.41,78433.0
2024-06-28,15.32,15.4,15.68,15.32,71152.0
2024-07-01,15.38,15.48,15.49,15.04,75268.0
2024-07-02,15.39,15.35,15.62,15.27,74058.0
2024-07-03,15.31,15.46,15.75,15.21,94356.0
2024-07-04,15.4,14.71,15.47,14.68,135194.0
2024-07-05,14.72,14.75,14.85,14.5,88241.0
2024-07-08,14.7,14.28,14.73,14.15,90184.0
2024-07-09,14.22,14.43,14.51,14.0,97843.0
2024-07-10,14.38,14.74,14.88,14.2,85119.0
2024-07-11,15.0,15.19,15.3,14.88,78430.0
2024-07-12,15.2,15.03,15.23,14.93,60522.0
2024-07-15,15.0,14.91,15.09,14.84,43423.0
2024-07-16,14.87,14.82,15.02,14.76,51262.0
2024-07-17,14.8,15.1,15.23,14.76,69957.0
2024-07-18,15.02,15.21,15.21,14.86,64030.0
2024-07-19,15.11,15.19,15.25,14.91,58794.0
2024-07-22,15.16,15.11,15.29,14.97,58025.0
2024-07-23,15.05,14.66,15.07,14.66,63871.0
2024-07-24,14.6,14.37,14.66,14.32,56834.0
2024-07-25,14.3,14.57,14.75,14.27,65100.0
2024-07-26,14.65,14.66,14.98,14.57,52752.0
2024-07-29,14.67,14.33,14.71,14.27,64414.0
2024-07-30,14.28,14.28,14.38,14.16,63699.0
